ts	phase	decision	why	evidence	result
2026-08-29T07:20:00Z	shape	Keep nested BlockKind::If { then_body, else_body } and type canvas insert targets as CanvasSelection::IfThen / IfElse	The plan forbids Goto/Tag/Jump. Named branch selections match ContainerPath instead of another boolean.	src/macro_ui/canvas_model.rs CanvasSelection	open
2026-08-29T07:22:00Z	inspector	Split If out of the TEXT DETECTOR arm and use the Flow inspector headed IF with THEN/ELSE insert-target fields	Selecting If was showing a detector row. The plan wants a dedicated If inspector that names the branches.	src/macro_ui/inspector.rs project_inspector	open
2026-08-29T07:24:00Z	insert	Route palette insert through insertion_target for IfThen/IfElse selection, and keep If-block selection inserting into THEN	THEN stays the default when the If node is selected. ELSE is a first-class selection, not a retarget-only side path.	src/macro_ui/mod.rs insertion_target	open
2026-08-29T07:26:00Z	canvas	Paint empty THEN/ELSE slots beside the If node and let port/group clicks select those insert targets	Empty ELSE had no members so it was invisible and unclickable. Live verify needs Select ELSE then insert.	src/macro_ui/canvas.rs group_world_rect	open
2026-08-29T07:28:00Z	copy	Replace library empty-state "guided creator arrives next phase" with New Macro / Guided wizard	The wizard already ships. The stale copy was the plan's leftover.	src/macro_ui/library.rs show	open
2026-08-29T07:35:00Z	verify	Unit tests for ELSE insert, palette nested containers, and invalid cross-branch links	Prove the insert path against real commands, not a compile.	cargo test palette; cargo test invalid_cross_branch_link; cargo test if_inspector_names_then_and_else; cargo test if_groups_expose_typed_then; cargo test if_else_port_click	tests green
2026-08-29T07:40:00Z	ship	Commit 810c5f5 on pr-macro-if and open ready PR 1. Stop at STACK-READY. Do not merge.	Autopilot-stack owner delivers a verified head for the root swarm.	https://github.com/Howard-Starfield/Diablo-IV-Masterwork-Companion/pull/1	STACK-READY
2026-08-29T07:52:00Z	audit	Leave library.rs empty-state copy as-is	Lead judgment dismissed it. The plan Files section allowed the wizard copy.	src/macro_ui/library.rs	kept
2026-08-29T07:52:10Z	audit	Do not expand selection_for_port TimeoutBody/WatchLane	It already mirrors If insert-target mapping. Expanding it is out of this pass.	src/macro_ui/canvas.rs selection_for_port	kept
2026-08-29T07:52:20Z	audit	Add tests only. Do not change production insert or hit_test.	THEN insert and empty THEN/ELSE slot hits already worked. The gap was missing tests.	src/macro_ui/mod.rs palette_inserts_into_selected_if_then_branch; src/macro_ui/canvas.rs empty_if_then_slot_click empty_if_else_slot_click	tests added
